age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,balance_per_second
58,management,married,tertiary,no,0,no,no,unknown,20,jun,22,4,-1,0,unknown,no,0.0
35,technician,married,secondary,no,198,no,no,cellular,27,aug,282,13,-1,0,unknown,no,0.7021276595744681
55,admin.,married,secondary,no,183,yes,no,unknown,6,may,150,1,-1,0,unknown,no,1.22
46,admin.,married,secondary,no,517,yes,no,cellular,5,may,29,3,-1,0,unknown,no,17.82758620689655
60,retired,divorced,secondary,no,935,no,no,cellular,31,jul,8,17,-1,0,unknown,no,116.875
40,services,divorced,secondary,no,694,yes,no,cellular,31,jul,75,14,-1,0,unknown,no,9.253333333333334
40,management,married,tertiary,no,0,yes,no,cellular,2,feb,279,1,-1,0,unknown,no,0.0
36,management,married,tertiary,no,3839,no,no,cellular,19,nov,146,1,-1,0,unknown,no,26.294520547945204
33,blue-collar,married,secondary,no,370,yes,no,cellular,8,apr,249,1,-1,0,unknown,no,1.4859437751004017
27,services,single,secondary,no,2457,yes,no,unknown,29,may,123,4,-1,0,unknown,no,19.975609756097562
30,management,single,tertiary,no,7845,yes,no,unknown,3,jun,59,1,-1,0,unknown,no,132.96610169491527
24,admin.,married,secondary,no,541,yes,no,unknown,5,jun,622,4,-1,0,unknown,no,0.8697749196141479
47,entrepreneur,married,tertiary,no,0,no,no,telephone,18,nov,103,2,-1,0,unknown,no,0.0
31,admin.,married,secondary,no,728,yes,yes,cellular,15,may,152,1,352,4,failure,no,4.7894736842105265
55,blue-collar,divorced,secondary,no,496,no,yes,cellular,28,jul,93,4,-1,0,unknown,no,5.333333333333333
40,management,single,secondary,no,10378,yes,no,cellular,17,nov,523,3,-1,0,unknown,no,19.84321223709369
43,entrepreneur,married,tertiary,no,13342,yes,no,cellular,18,nov,465,1,-1,0,unknown,no,28.69247311827957
31,blue-collar,married,secondary,no,92,yes,no,unknown,16,may,688,1,-1,0,unknown,yes,0.13372093023255813
38,technician,married,secondary,no,0,yes,no,cellular,22,jul,1545,1,-1,0,unknown,yes,0.0
55,housemaid,divorced,primary,no,77,no,no,cellular,31,jul,463,6,-1,0,unknown,yes,0.16630669546436286
49,blue-collar,married,primary,no,128,no,no,cellular,12,aug,696,2,-1,0,unknown,yes,0.1839080459770115
32,technician,single,tertiary,no,34646,no,no,telephone,13,aug,618,9,-1,0,unknown,yes,56.06148867313916
36,technician,married,secondary,no,2473,no,no,cellular,28,aug,965,4,-1,0,unknown,yes,2.562694300518135
37,services,married,secondary,no,1970,yes,no,telephone,5,nov,253,1,-1,0,unknown,yes,7.786561264822135
49,management,married,secondary,no,249,no,no,telephone,6,nov,234,1,-1,0,unknown,yes,1.064102564102564
31,blue-collar,married,tertiary,no,-35,no,no,cellular,20,nov,952,2,-1,0,unknown,yes,-0.03676470588235294
33,services,married,secondary,no,2918,no,yes,cellular,20,nov,1059,2,-1,0,unknown,yes,2.7554296506137868
27,admin.,married,secondary,no,1293,yes,no,cellular,8,apr,1665,3,-1,0,unknown,yes,0.7765765765765765
59,retired,married,secondary,no,493,no,no,cellular,30,apr,237,1,-1,0,unknown,yes,2.080168776371308
23,blue-collar,single,secondary,no,780,yes,no,cellular,15,may,416,1,-1,0,unknown,yes,1.875
28,technician,single,tertiary,no,386,no,no,cellular,25,may,867,1,-1,0,unknown,yes,0.44521337946943484
31,student,single,tertiary,no,64,no,no,cellular,2,jun,261,2,-1,0,unknown,yes,0.24521072796934865
34,management,married,tertiary,no,158,no,no,cellular,9,sep,278,2,132,4,failure,yes,0.5683453237410072
22,student,single,secondary,no,1522,no,no,cellular,30,oct,368,2,-1,0,unknown,yes,4.135869565217392
35,technician,married,secondary,no,4922,yes,no,cellular,17,nov,393,4,201,17,other,yes,12.524173027989821
47,blue-collar,married,secondary,no,3715,no,no,cellular,12,feb,171,2,182,4,other,yes,21.72514619883041
65,admin.,married,secondary,no,952,no,no,cellular,2,jun,310,1,-1,0,unknown,yes,3.0709677419354837
30,technician,single,tertiary,no,0,yes,no,cellular,5,jul,140,1,424,8,success,yes,0.0
29,management,single,tertiary,no,502,no,no,cellular,8,jul,968,1,87,5,failure,yes,0.518595041322314
29,unemployed,single,unknown,no,1584,no,no,cellular,6,sep,245,1,-1,0,unknown,yes,6.46530612244898
46,technician,married,secondary,no,1167,yes,no,cellular,21,nov,1540,2,-1,0,unknown,yes,0.7577922077922078
38,services,married,secondary,no,934,yes,no,cellular,14,may,715,1,-1,0,unknown,yes,1.3062937062937063
28,technician,single,secondary,yes,-1042,yes,no,unknown,6,jun,712,2,-1,0,unknown,yes,-1.4634831460674158
25,student,married,tertiary,no,10,yes,no,cellular,21,jul,857,4,-1,0,unknown,yes,0.011668611435239206
30,entrepreneur,married,secondary,no,-346,yes,yes,cellular,22,jul,88,1,-1,0,unknown,no,-3.9318181818181817
44,admin.,divorced,secondary,no,777,yes,no,cellular,18,may,517,3,350,2,failure,no,1.5029013539651837
31,blue-collar,married,primary,no,55,yes,yes,cellular,17,apr,340,2,-1,0,unknown,no,0.16176470588235295
57,technician,married,secondary,no,295,no,no,cellular,19,aug,151,11,-1,0,unknown,no,1.9536423841059603
46,management,married,secondary,no,10,yes,no,cellular,29,jul,122,7,-1,0,unknown,no,0.08196721311475409
38,management,married,tertiary,no,1354,yes,no,cellular,29,jan,50,2,-1,0,unknown,no,27.08
32,services,single,tertiary,no,785,no,no,cellular,3,jun,273,1,-1,0,unknown,no,2.8754578754578755
31,services,single,secondary,no,85,no,no,cellular,16,jul,151,1,-1,0,unknown,no,0.5629139072847682
29,unknown,single,secondary,no,923,no,no,cellular,26,may,333,1,-1,0,unknown,no,2.7717717717717716
36,technician,married,tertiary,no,1327,no,no,cellular,29,oct,174,2,-1,0,unknown,no,7.626436781609195
29,technician,divorced,secondary,no,124,no,no,unknown,27,may,125,1,-1,0,unknown,no,0.992
28,blue-collar,married,primary,no,278,yes,yes,telephone,15,may,31,9,373,4,other,no,8.96774193548387
60,blue-collar,married,unknown,no,104,yes,no,unknown,5,may,22,1,-1,0,unknown,no,4.7272727272727275
33,unemployed,married,secondary,no,438,yes,yes,unknown,21,may,129,1,-1,0,unknown,no,3.395348837209302
30,technician,married,secondary,no,418,yes,no,unknown,3,jun,112,1,-1,0,unknown,no,3.732142857142857
49,blue-collar,married,secondary,no,388,no,no,telephone,17,jul,265,2,-1,0,unknown,no,1.4641509433962263
26,student,single,secondary,no,502,yes,no,telephone,7,may,82,1,-1,0,unknown,no,6.121951219512195
46,management,married,tertiary,no,16,yes,no,cellular,6,may,304,1,-1,0,unknown,no,0.05263157894736842
32,entrepreneur,married,unknown,no,73,yes,no,cellular,21,nov,158,1,135,1,failure,no,0.4620253164556962
46,entrepreneur,married,tertiary,no,4726,yes,no,cellular,8,apr,405,1,-1,0,unknown,no,11.669135802469135
31,technician,single,secondary,no,4888,yes,no,telephone,5,may,475,4,166,2,failure,no,10.290526315789474
50,blue-collar,married,primary,no,9301,yes,no,cellular,7,jul,136,4,-1,0,unknown,no,68.38970588235294
45,technician,divorced,unknown,yes,-25,no,yes,unknown,3,jul,158,3,-1,0,unknown,no,-0.15822784810126583
58,admin.,married,secondary,no,1464,yes,yes,unknown,5,jun,53,29,-1,0,unknown,no,27.62264150943396
24,self-employed,single,tertiary,no,91,yes,no,cellular,15,may,134,2,-1,0,unknown,no,0.6791044776119403
36,technician,single,secondary,no,1044,yes,no,cellular,20,aug,15,19,-1,0,unknown,no,69.6
54,management,single,secondary,no,602,no,no,cellular,30,jul,101,2,-1,0,unknown,no,5.96039603960396
59,admin.,single,secondary,no,-423,yes,yes,cellular,20,apr,84,1,-1,0,unknown,no,-5.035714285714286
26,admin.,single,secondary,no,141,yes,no,cellular,18,may,19,4,349,6,other,no,7.421052631578948
41,self-employed,single,unknown,no,426,yes,no,unknown,19,jun,75,1,-1,0,unknown,no,5.68
29,technician,single,secondary,no,18,no,no,cellular,3,feb,206,3,-1,0,unknown,no,0.08737864077669903
36,technician,married,tertiary,no,202,no,no,cellular,1,jun,206,1,192,1,failure,no,0.9805825242718447
50,entrepreneur,married,primary,no,199,no,no,cellular,11,may,228,2,363,2,failure,no,0.8728070175438597
36,management,married,tertiary,no,928,yes,no,cellular,20,apr,239,1,-1,0,unknown,no,3.8828451882845187
53,technician,single,secondary,no,-165,yes,no,cellular,9,jul,89,1,-1,0,unknown,no,-1.853932584269663
41,blue-collar,married,primary,no,2453,yes,no,unknown,15,may,1052,1,-1,0,unknown,yes,2.331749049429658
51,management,single,secondary,no,1610,yes,no,unknown,16,jun,1248,3,-1,0,unknown,yes,1.2900641025641026
40,admin.,married,secondary,no,341,no,no,cellular,31,jul,1142,5,-1,0,unknown,yes,0.29859894921190894
54,retired,married,primary,no,309,no,no,cellular,13,aug,969,2,-1,0,unknown,yes,0.3188854489164087
32,management,single,tertiary,no,20,no,no,cellular,14,aug,1151,2,-1,0,unknown,yes,0.01737619461337967
43,admin.,married,secondary,no,2271,no,no,telephone,10,nov,524,1,-1,0,unknown,yes,4.333969465648855
57,blue-collar,married,unknown,no,3585,no,no,telephone,14,nov,172,1,-1,0,unknown,yes,20.843023255813954
34,management,single,tertiary,no,1494,yes,no,cellular,18,nov,596,1,182,1,other,yes,2.5067114093959733
85,retired,married,primary,no,12114,no,no,telephone,12,feb,165,2,-1,0,unknown,yes,73.41818181818182
43,unemployed,single,tertiary,no,983,yes,no,cellular,26,feb,97,1,-1,0,unknown,yes,10.1340206185567
35,technician,single,secondary,no,16,yes,no,cellular,8,apr,903,1,-1,0,unknown,yes,0.017718715393133997
32,entrepreneur,married,secondary,no,-242,yes,no,cellular,20,apr,1202,3,-1,0,unknown,yes,-0.20133111480865223
26,student,single,tertiary,no,1134,no,no,cellular,21,apr,464,4,-1,0,unknown,yes,2.4439655172413794
30,management,single,tertiary,no,398,no,no,cellular,30,apr,554,1,6,2,success,yes,0.7184115523465704
32,blue-collar,married,primary,no,-454,yes,yes,cellular,18,may,801,5,355,2,failure,yes,-0.5667915106117354
33,management,married,tertiary,no,1323,no,no,cellular,1,jun,327,1,-1,0,unknown,yes,4.045871559633028
46,blue-collar,married,secondary,no,1568,yes,no,cellular,2,jun,310,1,55,6,other,yes,5.058064516129032
35,blue-collar,married,primary,no,1177,no,no,cellular,8,jun,243,4,-1,0,unknown,yes,4.843621399176954
36,technician,single,secondary,no,539,yes,no,cellular,27,aug,398,2,477,1,failure,yes,1.3542713567839195
35,self-employed,single,tertiary,no,5462,no,no,cellular,2,nov,188,1,186,1,success,yes,29.0531914893617
27,management,single,tertiary,no,1720,no,no,cellular,3,nov,284,2,273,1,failure,yes,6.056338028169014
43,management,married,tertiary,no,3186,no,no,cellular,16,nov,380,1,88,1,failure,yes,8.384210526315789
36,management,single,tertiary,no,479,no,no,cellular,9,feb,629,2,-1,0,unknown,yes,0.7615262321144675
28,services,single,secondary,no,168,no,no,cellular,1,jun,347,3,140,2,success,yes,0.484149855907781
39,management,divorced,tertiary,no,224,no,no,cellular,2,jul,194,2,88,1,success,yes,1.1546391752577319
41,management,married,tertiary,no,0,no,no,cellular,17,sep,294,4,63,11,other,yes,0.0
59,retired,married,primary,no,3648,no,no,telephone,19,jun,1321,3,-1,0,unknown,yes,2.761544284632854
33,admin.,married,secondary,no,920,no,no,cellular,30,apr,344,1,-1,0,unknown,yes,2.6744186046511627
62,retired,married,secondary,no,1495,no,no,cellular,13,oct,896,1,57,2,success,yes,1.6685267857142858
41,management,married,tertiary,no,2226,no,no,cellular,7,aug,182,2,99,1,failure,yes,12.23076923076923
42,management,married,tertiary,no,294,no,no,cellular,26,aug,513,1,-1,0,unknown,yes,0.5730994152046783
42,blue-collar,married,secondary,no,366,yes,no,cellular,22,may,324,1,106,1,failure,yes,1.1296296296296295
46,blue-collar,married,primary,no,369,yes,no,unknown,13,may,916,2,-1,0,unknown,yes,0.4028384279475983
31,admin.,single,secondary,no,131,yes,no,cellular,15,jun,151,1,-1,0,unknown,yes,0.8675496688741722
31,blue-collar,single,secondary,no,573,yes,no,telephone,5,feb,58,1,269,2,failure,no,9.879310344827585
39,admin.,married,secondary,no,1388,yes,no,cellular,15,jul,150,5,-1,0,unknown,no,9.253333333333334
33,management,single,tertiary,no,0,yes,no,telephone,5,may,399,2,358,5,other,no,0.0
51,management,divorced,tertiary,no,119,no,no,cellular,17,nov,200,1,165,2,failure,no,0.595
42,blue-collar,married,secondary,no,1958,yes,no,unknown,30,may,124,3,-1,0,unknown,no,15.790322580645162
37,self-employed,single,primary,no,235,yes,no,cellular,17,apr,191,4,323,9,failure,no,1.2303664921465969
42,technician,divorced,secondary,no,1689,yes,no,cellular,31,jul,50,2,-1,0,unknown,no,33.78
51,blue-collar,married,tertiary,no,2404,yes,no,telephone,20,nov,30,1,-1,0,unknown,no,80.13333333333334
29,self-employed,married,tertiary,no,242,yes,no,cellular,18,jul,73,4,-1,0,unknown,no,3.315068493150685
39,blue-collar,married,primary,no,12848,yes,no,unknown,5,jun,337,2,-1,0,unknown,no,38.124629080118694
55,unemployed,married,primary,no,1221,no,yes,cellular,8,jul,108,1,-1,0,unknown,no,11.305555555555555
54,housemaid,married,primary,no,167,yes,no,cellular,22,jul,106,2,-1,0,unknown,no,1.5754716981132075
43,blue-collar,married,primary,no,0,yes,no,unknown,12,may,3,1,-1,0,unknown,no,0.0
56,management,married,tertiary,no,94,no,no,cellular,23,jul,530,3,-1,0,unknown,no,0.17735849056603772
50,blue-collar,married,unknown,no,452,no,no,cellular,20,aug,181,2,-1,0,unknown,no,2.4972375690607733
52,management,married,primary,no,48,no,no,unknown,9,jun,135,2,-1,0,unknown,no,0.35555555555555557
57,retired,married,primary,no,333,no,no,unknown,22,aug,336,2,-1,0,unknown,no,0.9910714285714286
53,services,divorced,primary,no,778,yes,no,cellular,17,apr,221,2,-1,0,unknown,no,3.520361990950226
36,technician,married,tertiary,no,1109,no,no,cellular,13,aug,328,2,-1,0,unknown,no,3.3810975609756095
29,management,single,tertiary,no,573,yes,yes,unknown,16,jun,190,4,-1,0,unknown,no,3.0157894736842104
27,management,single,tertiary,yes,0,no,yes,cellular,8,jul,46,1,-1,0,unknown,no,0.0
50,management,divorced,tertiary,no,2564,yes,no,cellular,21,nov,124,4,113,8,failure,no,20.677419354838708
34,management,married,tertiary,no,179,yes,no,cellular,20,nov,184,1,-1,0,unknown,no,0.9728260869565217
40,blue-collar,married,primary,no,2129,yes,no,cellular,20,apr,1156,3,-1,0,unknown,no,1.8416955017301038
60,blue-collar,married,primary,no,228,yes,no,unknown,28,may,249,11,-1,0,unknown,no,0.9156626506024096
32,technician,married,secondary,no,367,yes,no,cellular,11,may,214,2,276,3,failure,no,1.7149532710280373
59,management,divorced,tertiary,no,0,no,no,telephone,30,jul,196,3,-1,0,unknown,no,0.0
44,blue-collar,married,secondary,no,294,yes,no,unknown,19,may,66,2,-1,0,unknown,no,4.454545454545454
51,management,married,primary,no,98,yes,no,unknown,7,may,114,2,-1,0,unknown,no,0.8596491228070176
42,management,single,tertiary,no,0,yes,yes,unknown,5,may,562,2,-1,0,unknown,yes,0.0
28,admin.,single,secondary,no,460,yes,no,unknown,26,may,741,6,-1,0,unknown,yes,0.6207827260458839
23,blue-collar,single,secondary,no,492,yes,no,unknown,4,jun,638,1,-1,0,unknown,yes,0.7711598746081505
57,management,married,tertiary,no,-92,yes,yes,unknown,20,jun,1617,1,-1,0,unknown,yes,-0.05689548546691404
46,housemaid,divorced,primary,no,2084,yes,no,cellular,18,jul,1081,2,-1,0,unknown,yes,1.9278445883441258
32,management,single,secondary,no,131,yes,yes,cellular,23,jul,1152,2,-1,0,unknown,yes,0.11371527777777778
52,management,married,tertiary,no,576,no,no,cellular,18,aug,762,3,-1,0,unknown,yes,0.7559055118110236
33,management,single,tertiary,no,432,no,no,telephone,20,aug,588,6,-1,0,unknown,yes,0.7346938775510204
35,technician,single,secondary,no,3490,yes,no,cellular,29,aug,643,2,-1,0,unknown,yes,5.427682737169518
39,services,divorced,secondary,no,0,yes,no,cellular,13,apr,1006,2,-1,0,unknown,yes,0.0
24,student,single,secondary,no,382,no,no,cellular,30,apr,567,2,-1,0,unknown,yes,0.673721340388007
49,blue-collar,single,primary,no,2146,yes,no,cellular,7,may,1516,2,353,2,other,yes,1.4155672823218997
59,retired,married,tertiary,no,422,yes,no,cellular,14,may,647,4,-1,0,unknown,yes,0.652241112828439
26,management,single,tertiary,no,170,no,no,cellular,15,jun,129,1,-1,0,unknown,yes,1.317829457364341
57,technician,married,secondary,no,589,yes,no,cellular,11,aug,167,1,190,5,failure,yes,3.5269461077844313
48,blue-collar,married,secondary,no,1230,yes,no,cellular,12,nov,169,1,196,2,success,yes,7.27810650887574
80,retired,married,primary,no,155,no,no,telephone,12,mar,290,1,93,2,success,yes,0.5344827586206896
56,housemaid,single,tertiary,no,1947,no,no,unknown,30,mar,110,1,-1,0,unknown,yes,17.7
45,technician,married,secondary,no,1831,no,no,cellular,27,may,275,2,-1,0,unknown,yes,6.658181818181818
25,blue-collar,single,secondary,no,1857,yes,no,cellular,13,jul,195,2,91,10,success,yes,9.523076923076923
27,blue-collar,single,secondary,no,535,no,no,cellular,16,aug,265,3,95,4,success,yes,2.018867924528302
39,blue-collar,married,secondary,no,1382,yes,no,cellular,11,feb,397,2,-1,0,unknown,yes,3.4811083123425695
30,management,single,tertiary,no,536,no,no,cellular,2,jul,309,1,-1,0,unknown,yes,1.7346278317152104
54,retired,married,secondary,no,1851,no,no,unknown,11,jun,296,3,-1,0,unknown,no,6.253378378378378
39,admin.,married,secondary,no,3047,yes,no,cellular,11,may,279,1,370,2,failure,no,10.921146953405017
51,management,divorced,tertiary,no,119,no,no,unknown,5,jun,112,2,-1,0,unknown,no,1.0625
47,services,married,secondary,no,278,yes,no,cellular,7,may,51,1,366,1,other,no,5.450980392156863
59,retired,married,primary,no,1423,yes,no,unknown,15,may,584,2,-1,0,unknown,no,2.4366438356164384
35,blue-collar,married,secondary,no,260,yes,no,telephone,13,may,155,6,-1,0,unknown,no,1.6774193548387097
51,blue-collar,divorced,secondary,no,734,yes,yes,cellular,5,may,17,1,-1,0,unknown,no,43.1764705882353
57,entrepreneur,married,unknown,no,657,no,no,unknown,12,jun,344,1,-1,0,unknown,no,1.9098837209302326
31,blue-collar,married,primary,no,-848,yes,no,unknown,23,may,559,3,-1,0,unknown,no,-1.516994633273703
37,services,single,secondary,no,608,no,no,cellular,14,may,380,3,-1,0,unknown,no,1.6
44,management,married,tertiary,no,445,no,yes,telephone,6,feb,135,2,9,7,other,no,3.2962962962962963
31,technician,single,secondary,no,628,yes,no,unknown,12,may,1083,2,-1,0,unknown,no,0.579870729455217
54,unemployed,single,secondary,no,3611,yes,no,cellular,5,feb,81,1,-1,0,unknown,no,44.58024691358025
47,management,single,tertiary,no,-230,no,no,cellular,4,feb,293,1,-1,0,unknown,no,-0.7849829351535836
45,self-employed,divorced,tertiary,yes,75,yes,yes,cellular,4,feb,236,1,-1,0,unknown,no,0.3177966101694915
58,management,single,tertiary,no,342,no,yes,cellular,11,jul,564,2,-1,0,unknown,no,0.6063829787234043
50,unemployed,married,secondary,no,3478,yes,no,unknown,13,may,342,3,-1,0,unknown,no,10.169590643274853
32,blue-collar,single,secondary,no,413,yes,no,cellular,19,nov,270,1,-1,0,unknown,no,1.5296296296296297
31,management,single,tertiary,no,1308,no,no,cellular,22,aug,323,3,-1,0,unknown,no,4.04953560371517
31,unemployed,single,tertiary,no,1489,yes,no,cellular,3,feb,678,1,-1,0,unknown,no,2.196165191740413
29,management,single,tertiary,no,119,yes,no,unknown,28,may,136,2,-1,0,unknown,no,0.875
32,management,single,tertiary,yes,4,no,no,cellular,29,jan,181,1,-1,0,unknown,no,0.022099447513812154
